Fault,Size (meters)
Fault 1,0.0
Fault 2,74.0
Fault 3,142.0
Fault 4,56.0
Fault 5,36.0
Fault 6,22.0
Fault 7,42.0
Fault 8,156.0
Fault 9,12.0
Fault 10,142.0
Fault 11,42.0
Fault 12,30.0
Fault 13,20.0
Fault 14,62.0
Fault 15,32.0
Fault 16,10.0
Fault 17,22.0
Fault 18,46.0
Fault 19,40.0
Fault 20,26.0
Fault 21,14.0
Fault 22,20.0
Fault 23,28.0
Fault 24,96.0
Fault 25,64.0
Fault 26,20.0
Fault 27,20.0
Fault 28,690.0
Fault 29,2040.0
Fault 30,892.0
Fault 31,68.0
Fault 32,26.0
Fault 33,4.0
Fault 34,54.0
Fault 35,10.0
Fault 36,30.0
Fault 37,40.0
Fault 38,34.0
Fault 39,62.0
Fault 40,54.0
Fault 41,84.0
Fault 42,36.0
Fault 43,92.0
Fault 44,542.0
Fault 45,440.0
Fault 46,132.0
Fault 47,42.0
Fault 48,234.0
Fault 49,84.0
Fault 50,38.0
Fault 51,260.0
Fault 52,10.0
Fault 53,8.0
Fault 54,30.0
Fault 55,482.0
Fault 56,18.0
Fault 57,752.0
Fault 58,52.0
Fault 59,22.0
Fault 60,34.0
Fault 61,72.0
Fault 62,12.0
Fault 63,996.0
Fault 64,18.0
Fault 65,26.0
Fault 66,56.0
Fault 67,24.0
Fault 68,24.0
Fault 69,802.0
Fault 70,4.0
Fault 71,150.0
Fault 72,84.0
Fault 73,24.0
Fault 74,62.0
Fault 75,60.0
Fault 76,1916.0
Fault 77,16.0
Fault 78,156.0
Fault 79,28.0
Fault 80,34.0
Fault 81,128.0
Fault 82,54.0
Fault 83,60.0
Fault 84,26.0
Fault 85,22.0
Fault 86,586.0
Fault 87,606.0
Fault 88,110.0
Fault 89,40.0
Fault 90,94.0
Fault 91,82.0
Fault 92,160.0
Fault 93,256.0
Fault 94,204.0
Fault 95,208.0
Fault 96,174.0
Fault 97,12.0
Fault 98,14.0
Fault 99,29164.0
Fault 100,20.0
Fault 101,24.0
Fault 102,50358.0
Fault 103,4262.0
Fault 104,18.0
Fault 105,156.0
Fault 106,28.0
Fault 107,42.0
Fault 108,28.0
Fault 109,12.0
Fault 110,492.0
Fault 111,114.0
Fault 112,182.0
Fault 113,22.0
Fault 114,56.0
Fault 115,76.0
Fault 116,106.0
Fault 117,130.0
Fault 118,202.0
Fault 119,20.0
Fault 120,34.0
Fault 121,20.0
Fault 122,18.0
Fault 123,14.0
Fault 124,1452.0
Fault 125,272.0
Fault 126,250.0
Fault 127,256.0
Fault 128,1560.0
Fault 129,376.0
Fault 130,40.0
Fault 131,124.0
Fault 132,66.0
Fault 133,30.0
Fault 134,270.0
Fault 135,80.0
Fault 136,5336.0
Fault 137,596.0
Fault 138,22.0
Fault 139,202.0
Fault 140,38.0
Fault 141,30.0
Fault 142,158.0
Fault 143,222.0
Fault 144,30.0
Fault 145,22.0
Fault 146,2158.0
Fault 147,20.0
Fault 148,952.0
Fault 149,20.0
Fault 150,42.0
Fault 151,194.0
Fault 152,2514.0
Fault 153,516.0
Fault 154,552.0
Fault 155,36.0
Fault 156,44.0
Fault 157,132.0
Fault 158,20.0
Fault 159,24.0
Fault 160,158.0
Fault 161,342.0
Fault 162,34.0
Fault 163,16.0
Fault 164,20.0
Fault 165,14.0
Fault 166,184.0
Fault 167,68.0
Fault 168,250.0
Fault 169,140.0
Fault 170,130.0
Fault 171,16.0
Fault 172,104.0
Fault 173,38.0
Fault 174,204.0
Fault 175,12.0
Fault 176,628.0
Fault 177,226.0
Fault 178,32.0
Fault 179,100.0
Fault 180,26.0
Fault 181,232.0
Fault 182,40.0
Fault 183,64.0
Fault 184,68.0
Fault 185,52.0
Fault 186,10.0
Fault 187,3210.0
Fault 188,34154.0
Fault 189,14.0
Fault 190,86.0
Fault 191,1930.0
Fault 192,8968.0
Fault 193,112.0
Fault 194,0.0
Fault 195,92.0
Fault 196,78.0
Fault 197,32.0
Fault 198,50.0
Fault 199,216.0
Fault 200,46.0
Fault 201,10.0
Fault 202,16.0
Fault 203,14.0
Fault 204,10.0
Fault 205,22.0
Fault 206,140.0
Fault 207,188.0
Fault 208,64.0
Fault 209,86.0
Fault 210,128.0
Fault 211,12.0
Fault 212,24.0
Fault 213,3506.0
Fault 214,284.0
Fault 215,22.0
Fault 216,22.0
Fault 217,12.0
Fault 218,118.0
Fault 219,148.0
Fault 220,30.0
Fault 221,142.0
Fault 222,228.0
Fault 223,326.0
Fault 224,206.0
Fault 225,7826.0
Fault 226,18.0
Fault 227,148.0
Fault 228,114.0
Fault 229,410.0
Fault 230,350.0
Fault 231,154.0
Fault 232,14.0
Fault 233,842.0
Fault 234,150.0
Fault 235,44.0
Fault 236,108.0
Fault 237,108.0
Fault 238,2680.0
Fault 239,16778.0
Fault 240,68.0
Fault 241,612.0
Fault 242,282368.0
Fault 243,86.0
Fault 244,146.0
Fault 245,62.0
Fault 246,1434.0
Fault 247,960.0
Fault 248,32.0
Fault 249,138.0
Fault 250,764.0
Fault 251,82.0
Fault 252,36.0
Fault 253,564.0
Fault 254,108.0
Fault 255,28.0
Fault 256,336.0
Fault 257,3212.0
Fault 258,42.0
Fault 259,20.0
Fault 260,16.0
Fault 261,154.0
Fault 262,244.0
Fault 263,688.0
Fault 264,26.0
Fault 265,34.0
Fault 266,10.0
Fault 267,238.0
Fault 268,250.0
Fault 269,302.0
Fault 270,198.0
Fault 271,890.0
Fault 272,1880.0
Fault 273,6.0
Fault 274,6.0
Fault 275,128.0
Fault 276,1168.0
Fault 277,1248.0
Fault 278,44.0
Fault 279,36.0
Fault 280,18050.0
Fault 281,14.0
Fault 282,24.0
Fault 283,380.0
Fault 284,6256.0
Fault 285,22.0
Fault 286,660.0
Fault 287,2986.0
Fault 288,132.0
Fault 289,44.0
Fault 290,16.0
Fault 291,90.0
Fault 292,122.0
Fault 293,2982.0
Fault 294,196.0
Fault 295,296.0
Fault 296,4666.0
Fault 297,452.0
Fault 298,3474.0
Fault 299,210.0
Fault 300,52.0
Fault 301,44.0
Fault 302,34.0
Fault 303,320.0
Fault 304,2980.0
Fault 305,2018.0
Fault 306,154.0
Fault 307,44.0
Fault 308,94.0
Fault 309,4.0
Fault 310,24.0
Fault 311,4.0
Fault 312,12.0
Fault 313,16.0
Fault 314,136.0
Fault 315,30.0
Fault 316,96.0
Fault 317,62.0
Fault 318,50.0
Fault 319,80.0
Fault 320,20.0
Fault 321,114.0
Fault 322,950.0
Fault 323,20.0
Fault 324,156.0
Fault 325,58.0
Fault 326,142.0
Fault 327,60.0
Fault 328,302.0
Fault 329,20.0
Fault 330,686.0
Fault 331,10.0
Fault 332,12.0
Fault 333,60.0
Fault 334,174.0
Fault 335,72.0
Fault 336,802.0
Fault 337,12.0
Fault 338,36172.0
Fault 339,9096.0
Fault 340,552.0
Fault 341,902.0
Fault 342,48.0
Fault 343,46.0
Fault 344,146.0
Fault 345,226.0
Fault 346,56.0
Fault 347,196.0
Fault 348,276.0
Fault 349,2192.0
Fault 350,66.0
Fault 351,79734.0
Fault 352,16.0
Fault 353,550.0
